,Date 03/04/2026
Rice,42.33
Wheat,31.0
Atta (Wheat),37.02
Gram Dal,84.75
Tur/Arhar Dal,122.11
Urad Dal,117.17
Moong Dal,110.83
Masoor Dal,89.15
Sugar,46.52
Milk @,59.48
Groundnut Oil (Packed),200.21
Mustard Oil (Packed),188.83
Vanaspati (Packed),158.24
Soya Oil (Packed),157.02
Sunflower Oil (Packed),183.39
Palm Oil (Packed),143.0
Gur,56.96
Tea Loose,267.24
Salt Pack (Iodised),21.76
Potato,19.69
Onion,25.0
Tomato,26.82
Bajra (whole),37.71
Jowar (whole),43.71
Maida (wheat),41.35
Ragi (whole),55.23
Suji (whole),46.3
Besan,95.15
Desi Ghee,683.21
Butter (Pasteurised),58.82
Eggs,77.83
Brinjal,37.9
Black Pepper (whole),86.94
Coriander (whole),37.72
Cummin Seed (whole),41.0
Red Chillies (whole),28.7
Turmeric (powder),16.26
Banana,48.21
Ginger,24.38
Garlic,36.45
