,Date 15/04/2026
Rice,42.59
Wheat,30.99
Atta (Wheat),36.82
Gram Dal,84.68
Tur/Arhar Dal,121.9
Urad Dal,117.13
Moong Dal,110.65
Masoor Dal,88.75
Sugar,46.41
Milk @,59.46
Groundnut Oil (Packed),199.44
Mustard Oil (Packed),188.94
Vanaspati (Packed),158.24
Soya Oil (Packed),158.44
Sunflower Oil (Packed),183.26
Palm Oil (Packed),142.27
Gur,56.71
Tea Loose,273.25
Salt Pack (Iodised),21.77
Potato,20.26
Onion,24.93
Tomato,27.58
Bajra (whole),37.54
Jowar (whole),43.71
Maida (wheat),41.69
Ragi (whole),54.69
Suji (whole),46.44
Besan,95.43
Desi Ghee,683.55
Butter (Pasteurised),58.85
Eggs,77.65
Brinjal,38.76
Black Pepper (whole),87.39
Coriander (whole),38.17
Cummin Seed (whole),40.89
Red Chillies (whole),28.59
Turmeric (powder),16.4
Banana,47.91
Ginger,25.05
Garlic,36.31
