,Date 22/01/2026
Rice,43.12
Wheat,31.77
Atta (Wheat),37.15
Gram Dal,85.95
Tur/Arhar Dal,116.24
Urad Dal,114.03
Moong Dal,110.48
Masoor Dal,89.31
Sugar,46.47
Milk @,59.23
Groundnut Oil (Packed),190.07
Mustard Oil (Packed),186.41
Vanaspati (Packed),156.59
Soya Oil (Packed),147.89
Sunflower Oil (Packed),168.94
Palm Oil (Packed),133.19
Gur,57.1
Tea Loose,271.8
Salt Pack (Iodised),21.49
Potato,23.67
Onion,28.82
Tomato,43.42
Bajra (whole),37.86
Jowar (whole),43.88
Maida (wheat),42.01
Ragi (whole),54.44
Suji (whole),47.08
Besan,96.16
Desi Ghee,678.21
Butter (Pasteurised),59.09
Eggs,83.98
Brinjal,41.72
Black Pepper (whole),87.11
Coriander (whole),37.76
Cummin Seed (whole),41.18
Red Chillies (whole),27.77
Turmeric (powder),16.33
Banana,47.4
Ginger,24.8
Garlic,38.65
