Date 18/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.32,62,,
Unit:(Rs./Kg.),Wheat,31.29,54,,
,Atta (Wheat),36.74,69,,
,Gram Dal,84.39,105,,
,Tur/Arhar Dal,123.2,172,,
,Urad Dal,116.8,157,,
,Moong Dal,110.01,140,,
,Masoor Dal,86.65,117,,
,Sugar,45.62,60,,
,Milk @,58.18,82,,
,Groundnut Oil (Packed),187,251,,
,Mustard Oil (Packed),170.65,220,,
,Vanaspati (Packed),153.4,209,,
,Soya Oil (Packed),147.94,187,,
,Sunflower Oil (Packed),161.92,201,,
,Palm Oil (Packed),135.89,183,,
,Gur,53.5,120,,
,Tea Loose,261.94,527,,
,Salt Pack (Iodised),21.36,31,,
,Potato,23.39,50,,
,Onion,24.91,67,,
,Tomato,21.3,80,,
