Date 21/07/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.62,63,,
Unit:(Rs./Kg.),Wheat,31.26,55,,
,Atta (Wheat),36.62,71,,
,Gram Dal,86.23,140,,
,Tur/Arhar Dal,120.29,183,,
,Urad Dal,115.27,170,,
,Moong Dal,110.75,148,,
,Masoor Dal,88.39,130,,
,Sugar,45.98,60,,
,Milk @,59.22,83,,
,Groundnut Oil (Packed),188.95,279,,
,Mustard Oil (Packed),180,242,,
,Vanaspati (Packed),156.78,231,,
,Soya Oil (Packed),146.59,198,,
,Sunflower Oil (Packed),160.6,253,,
,Palm Oil (Packed),130.21,177,,
,Gur,56.18,128,,
,Tea Loose,271.79,600,,
,Salt Pack (Iodised),21.31,32,,
,Potato,25.76,57,,
,Onion,28.41,60,,
,Tomato,42.05,120,,
