,Date 18/07/2026
Rice,44.08
Broken Rice,32.46
Wheat,31.06
Atta (Wheat),37.03
Gram Dal,85.62
Tur/Arhar Dal,122.53
Urad Dal,119.97
Moong Dal,111.19
Masoor Dal,89.44
Sugar,48.1
Milk @,61.24
Groundnut Oil (Packed),203.14
Mustard Oil (Packed),194.8
Vanaspati (Packed),164.84
Soya Oil (Packed),163.98
Sunflower Oil (Packed),189.08
Palm Oil (Packed),147.81
Gur,59.15
Tea Loose,273.38
Salt Pack (Iodised),21.66
Potato,22.66
Onion,34.51
Tomato,41.25
Bajra (whole),38.6
Jowar (whole),44.54
Maida (wheat),41.96
Ragi (whole),54.9
Suji (whole),46.55
Besan,96.02
Desi Ghee,693.96
Butter (Pasteurised),59.46
Eggs,85.56
Brinjal,42.08
Black Pepper (whole),87.83
Coriander (whole),41.17
Cummin Seed (whole),41.25
Red Chillies (whole),29.47
Turmeric (powder),16.42
Banana,50.17
Ginger,36.94
Garlic,42.55
