Date 21/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.94,65,,
Unit:(Rs./Kg.),Wheat,31.28,55,,
,Atta (Wheat),37.15,71,,
,Gram Dal,87.47,140,,
,Tur/Arhar Dal,129.26,185,,
,Urad Dal,118.96,155,,
,Moong Dal,111.87,150,,
,Masoor Dal,88.19,130,,
,Sugar,45.72,60,,
,Milk @,58.61,80,,
,Groundnut Oil (Packed),190.52,279,,
,Mustard Oil (Packed),169.08,234,,
,Vanaspati (Packed),153.51,209,,
,Soya Oil (Packed),146.54,211,,
,Sunflower Oil (Packed),159.61,211,,
,Palm Oil (Packed),138.27,182,,
,Gur,54.29,120,,
,Tea Loose,270.91,523,,
,Salt Pack (Iodised),21.44,31,,
,Potato,23.65,53,,
,Onion,29.2,67,,
,Tomato,21.61,100,,
