Date 04/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.61,64,,
Unit:(Rs./Kg.),Wheat,31.24,55,,
,Atta (Wheat),36.64,71,,
,Gram Dal,86.5,140,,
,Tur/Arhar Dal,124.57,185,,
,Urad Dal,116.45,157,,
,Moong Dal,111.36,148,,
,Masoor Dal,88.2,130,,
,Sugar,45.93,60,,
,Milk @,59.12,83,,
,Groundnut Oil (Packed),188.4,279,,
,Mustard Oil (Packed),171.13,242,,
,Vanaspati (Packed),156.06,231,,
,Soya Oil (Packed),146.81,189,,
,Sunflower Oil (Packed),161.08,231,,
,Palm Oil (Packed),133.53,182,,
,Gur,55.13,150,,
,Tea Loose,272.56,600,,
,Salt Pack (Iodised),21.42,31,,
,Potato,24.9,60,,
,Onion,26.29,60,,
,Tomato,27.23,100,,
