Date 13/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.84,65,,
Unit:(Rs./Kg.),Wheat,32.59,57,,
,Atta (Wheat),37.6,71,,
,Gram Dal,93,140,,
,Tur/Arhar Dal,153.76,190,,
,Urad Dal,123.52,170,,
,Moong Dal,113.62,150,,
,Masoor Dal,89.13,130,,
,Sugar,44.76,60,,
,Milk @,58.94,83,,
,Groundnut Oil (Packed),194.68,290,,
,Mustard Oil (Packed),169.18,221,,
,Vanaspati (Packed),147.98,211,,
,Soya Oil (Packed),143.99,194,,
,Sunflower Oil (Packed),154.84,209,,
,Palm Oil (Packed),135.5,176,,
,Gur,54.66,130,,
,Tea Loose,271.03,520,,
,Salt Pack (Iodised),21.87,31,,
,Potato,31.15,70,,
,Onion,39.72,87,,
,Tomato,31.58,100,,
