,Date 20/03/2026
Rice,42.73
Wheat,31.47
Atta (Wheat),37.32
Gram Dal,85.18
Tur/Arhar Dal,121.76
Urad Dal,117.34
Moong Dal,110.75
Masoor Dal,88.78
Sugar,46.45
Milk @,59.69
Groundnut Oil (Packed),196.59
Mustard Oil (Packed),186.98
Vanaspati (Packed),156.75
Soya Oil (Packed),153.43
Sunflower Oil (Packed),180.1
Palm Oil (Packed),139.46
Gur,57.33
Tea Loose,271.98
Salt Pack (Iodised),21.97
Potato,20.67
Onion,25.76
Tomato,27.53
Bajra (whole),38.24
Jowar (whole),44.49
Maida (wheat),41.64
Ragi (whole),54.69
Suji (whole),46.45
Besan,95.78
Desi Ghee,684.06
Butter (Pasteurised),58.94
Eggs,78.66
Brinjal,38.15
Black Pepper (whole),87.17
Coriander (whole),37.75
Cummin Seed (whole),40.93
Red Chillies (whole),28.28
Turmeric (powder),16.3
Banana,48.52
Ginger,24.94
Garlic,37.4
