,Date 11/03/2026
Rice,43.09
Wheat,31.21
Atta (Wheat),36.95
Gram Dal,85.62
Tur/Arhar Dal,122.09
Urad Dal,117.09
Moong Dal,110.97
Masoor Dal,89.48
Sugar,46.42
Milk @,59.29
Groundnut Oil (Packed),196.24
Mustard Oil (Packed),186.53
Vanaspati (Packed),156.78
Soya Oil (Packed),151.34
Sunflower Oil (Packed),177.97
Palm Oil (Packed),138.07
Gur,57.08
Tea Loose,272.65
Salt Pack (Iodised),21.72
Potato,21.29
Onion,26.33
Tomato,29.01
Bajra (whole),37.97
Jowar (whole),43.91
Maida (wheat),41.8
Ragi (whole),54.64
Suji (whole),46.72
Besan,95.83
Desi Ghee,680.83
Butter (Pasteurised),58.98
Eggs,79.38
Brinjal,38.85
Black Pepper (whole),86.91
Coriander (whole),37.72
Cummin Seed (whole),40.75
Red Chillies (whole),28.17
Turmeric (powder),16.31
Banana,47.8
Ginger,24.88
Garlic,37.89
