Date 24/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.17,63,,
Unit:(Rs./Kg.),Wheat,31.75,54,,
,Atta (Wheat),37.16,71,,
,Gram Dal,86.91,140,,
,Tur/Arhar Dal,115.33,182,,
,Urad Dal,113.75,170,,
,Moong Dal,110.63,150,,
,Masoor Dal,89.33,130,,
,Sugar,46.52,60,,
,Milk @,59.22,85,,
,Groundnut Oil (Packed),187.76,286,,
,Mustard Oil (Packed),187.57,257,,
,Vanaspati (Packed),156.51,231,,
,Soya Oil (Packed),147.16,198,,
,Sunflower Oil (Packed),163.74,231,,
,Palm Oil (Packed),132.68,187,,
,Gur,57.51,135,,
,Tea Loose,272.16,600,,
,Salt Pack (Iodised),21.61,35,,
,Potato,25.77,57,,
,Onion,26.49,60,,
,Tomato,39.21,120,,
