,Date 30/07/2026
Rice,45.04
Broken Rice,33.1
Wheat,31.27
Atta (Wheat),37.15
Gram Dal,86.52
Tur/Arhar Dal,123.4
Urad Dal,121.31
Moong Dal,111.88
Masoor Dal,90.44
Sugar,49.18
Milk @,60.8
Groundnut Oil (Packed),206.18
Mustard Oil (Packed),196.46
Vanaspati (Packed),165.81
Soya Oil (Packed),164.62
Sunflower Oil (Packed),189.56
Palm Oil (Packed),148.6
Gur,59.68
Tea Loose,276.47
Salt Pack (Iodised),21.95
Potato,22.87
Onion,35.32
Tomato,39.52
Bajra (whole),38.06
Jowar (whole),44.34
Maida (wheat),42.36
Ragi (whole),55.32
Suji (whole),47.45
Besan,96.38
Desi Ghee,693.1
Butter (Pasteurised),59.92
Eggs,87.25
Brinjal,43.92
Black Pepper (whole),88.19
Coriander (whole),41.73
Cummin Seed (whole),41.05
Red Chillies (whole),29.79
Turmeric (powder),16.8
Banana,50.11
Ginger,37.15
Garlic,43.25
