,Date 17/04/2026
Rice,43.05
Wheat,30.99
Atta (Wheat),36.83
Gram Dal,85.29
Tur/Arhar Dal,122.63
Urad Dal,117.74
Moong Dal,111.36
Masoor Dal,89.55
Sugar,46.48
Milk @,59.62
Groundnut Oil (Packed),199.7
Mustard Oil (Packed),188.78
Vanaspati (Packed),159.58
Soya Oil (Packed),158.5
Sunflower Oil (Packed),184.47
Palm Oil (Packed),143.19
Gur,57.34
Tea Loose,274.57
Salt Pack (Iodised),21.66
Potato,20.4
Onion,25.01
Tomato,28.55
Bajra (whole),37.38
Jowar (whole),43.6
Maida (wheat),41.85
Ragi (whole),54.8
Suji (whole),46.96
Besan,95.28
Desi Ghee,683.4
Butter (Pasteurised),58.87
Eggs,77.87
Brinjal,39.72
Black Pepper (whole),87.28
Coriander (whole),38.37
Cummin Seed (whole),40.91
Red Chillies (whole),28.71
Turmeric (powder),16.43
Banana,47.72
Ginger,25.01
Garlic,36.62
