,Date 08/03/2026
Rice,42.07
Wheat,31.74
Atta (Wheat),37.56
Gram Dal,84.34
Tur/Arhar Dal,120.17
Urad Dal,116.99
Moong Dal,109.68
Masoor Dal,88.09
Sugar,46.06
Milk @,58.49
Groundnut Oil (Packed),195.32
Mustard Oil (Packed),185.48
Vanaspati (Packed),155.19
Soya Oil (Packed),151.09
Sunflower Oil (Packed),176.34
Palm Oil (Packed),136.9
Gur,56.13
Tea Loose,263.03
Salt Pack (Iodised),22.06
Potato,20.19
Onion,25.2
Tomato,26.95
Bajra (whole),37.23
Jowar (whole),43.79
Maida (wheat),40.85
Ragi (whole),55.34
Suji (whole),44.84
Besan,95.0
Desi Ghee,680.75
Butter (Pasteurised),58.72
Eggs,79.5
Brinjal,37.39
Black Pepper (whole),86.64
Coriander (whole),37.01
Cummin Seed (whole),40.09
Red Chillies (whole),27.95
Turmeric (powder),15.93
Banana,47.1
Ginger,24.23
Garlic,36.62
