Date 23/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.91,65,,
Unit:(Rs./Kg.),Wheat,32.74,51,,
,Atta (Wheat),38.13,66,,
,Gram Dal,87.05,129,,
,Tur/Arhar Dal,130.75,181,,
,Urad Dal,119.19,150,,
,Moong Dal,111.41,150,,
,Masoor Dal,87.13,120,,
,Sugar,45.33,60,,
,Milk @,57.87,80,,
,Groundnut Oil (Packed),188.85,251,,
,Mustard Oil (Packed),170.88,229,,
,Vanaspati (Packed),151.58,205,,
,Soya Oil (Packed),147.65,192,,
,Sunflower Oil (Packed),159.46,196,,
,Palm Oil (Packed),138.99,177,,
,Gur,53.24,130,,
,Tea Loose,264.1,520,,
,Salt Pack (Iodised),21.53,31,,
,Potato,22.33,53,,
,Onion,31.43,77,,
,Tomato,19.19,100,,
