,Date 27/08/2026
Rice,45.91
Broken Rice,32.66
Wheat,31.35
Atta (Wheat),37.17
Gram Dal,87.03
Tur/Arhar Dal,123.28
Urad Dal,121.75
Moong Dal,111.58
Masoor Dal,90.62
Sugar,64.33
Milk @,61.14
Groundnut Oil (Packed),207.43
Mustard Oil (Packed),200.49
Vanaspati (Packed),165.9
Soya Oil (Packed),165.59
Sunflower Oil (Packed),191.21
Palm Oil (Packed),148.35
Gur,66.85
Tea Loose,277.74
Salt Pack (Iodised),22.34
Potato,22.34
Onion,46.59
Tomato,38.24
Bajra (whole),38.48
Jowar (whole),44.77
Maida (wheat),42.14
Ragi (whole),55.61
Suji (whole),47.16
Besan,96.05
Desi Ghee,694.2
Butter (Pasteurised),60.27
Eggs,83.63
Brinjal,42.68
Black Pepper (whole),88.57
Coriander (whole),42.55
Cummin Seed (whole),41.05
Red Chillies (whole),30.21
Turmeric (powder),16.62
Banana,49.88
Ginger,36.61
Garlic,43.79
