Date 13/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.77,67,,
Unit:(Rs./Kg.),Wheat,32.63,55,,
,Atta (Wheat),37.9,71,,
,Gram Dal,90.66,140,,
,Tur/Arhar Dal,141.85,187,,
,Urad Dal,121.66,161,,
,Moong Dal,112.84,150,,
,Masoor Dal,88.79,130,,
,Sugar,45.12,60,,
,Milk @,58.36,83,,
,Groundnut Oil (Packed),193,280,,
,Mustard Oil (Packed),168.67,228,,
,Vanaspati (Packed),149.3,211,,
,Soya Oil (Packed),144.25,202,,
,Sunflower Oil (Packed),155.45,211,,
,Palm Oil (Packed),135.95,176,,
,Gur,54.37,130,,
,Tea Loose,271.43,520,,
,Salt Pack (Iodised),21.4,31,,
,Potato,25.98,65,,
,Onion,36.1,80,,
,Tomato,23.47,100,,
