Date 22/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.94,64,,
Unit:(Rs./Kg.),Wheat,31.33,55,,
,Atta (Wheat),37.19,71,,
,Gram Dal,87.34,140,,
,Tur/Arhar Dal,129.28,185,,
,Urad Dal,119.09,155,,
,Moong Dal,112.05,150,,
,Masoor Dal,88.29,130,,
,Sugar,45.71,60,,
,Milk @,58.77,80,,
,Groundnut Oil (Packed),190.31,279,,
,Mustard Oil (Packed),168.99,234,,
,Vanaspati (Packed),154,209,,
,Soya Oil (Packed),145.84,192,,
,Sunflower Oil (Packed),160.31,211,,
,Palm Oil (Packed),137.99,182,,
,Gur,54.44,120,,
,Tea Loose,270.84,523,,
,Salt Pack (Iodised),21.41,31,,
,Potato,23.76,55,,
,Onion,28.83,67,,
,Tomato,21.81,100,,
