Date 25/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.76,64,,
Unit:(Rs./Kg.),Wheat,31.34,55,,
,Atta (Wheat),37.1,71,,
,Gram Dal,87.02,140,,
,Tur/Arhar Dal,128.57,185,,
,Urad Dal,118.41,155,,
,Moong Dal,111.86,150,,
,Masoor Dal,88.12,130,,
,Sugar,45.73,60,,
,Milk @,58.61,80,,
,Groundnut Oil (Packed),189.82,279,,
,Mustard Oil (Packed),169.77,232,,
,Vanaspati (Packed),154.07,212,,
,Soya Oil (Packed),146.47,211,,
,Sunflower Oil (Packed),160.8,211,,
,Palm Oil (Packed),137.36,182,,
,Gur,54.31,120,,
,Tea Loose,271.09,523,,
,Salt Pack (Iodised),21.35,31,,
,Potato,23.81,55,,
,Onion,28.47,67,,
,Tomato,21.7,100,,
