,Date 02/06/2026
Rice,43.33
Wheat,30.88
Atta (Wheat),36.89
Gram Dal,85.58
Tur/Arhar Dal,122.82
Urad Dal,118.53
Moong Dal,111.74
Masoor Dal,90.07
Sugar,46.84
Milk @,60.32
Groundnut Oil (Packed),202.18
Mustard Oil (Packed),190.73
Vanaspati (Packed),162.47
Soya Oil (Packed),161.03
Sunflower Oil (Packed),186.1
Palm Oil (Packed),145.74
Gur,58.24
Tea Loose,274.77
Salt Pack (Iodised),21.74
Potato,21.43
Onion,26.17
Tomato,37.42
Bajra (whole),38.05
Jowar (whole),44.2
Maida (wheat),41.97
Ragi (whole),54.69
Suji (whole),46.98
Besan,95.66
Desi Ghee,686.85
Butter (Pasteurised),59.22
Eggs,79.59
Brinjal,41.08
Black Pepper (whole),87.76
Coriander (whole),39.43
Cummin Seed (whole),41.05
Red Chillies (whole),29.06
Turmeric (powder),16.48
Banana,48.8
Ginger,28.47
Garlic,38.14
