Date 16/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.16,64,,
Unit:(Rs./Kg.),Wheat,31.72,54,,
,Atta (Wheat),37.08,71,,
,Gram Dal,87.55,140,,
,Tur/Arhar Dal,116.51,182,,
,Urad Dal,114.35,170,,
,Moong Dal,110.82,150,,
,Masoor Dal,89.75,140,,
,Sugar,46.45,60,,
,Milk @,59.31,85,,
,Groundnut Oil (Packed),188.47,279,,
,Mustard Oil (Packed),188.54,257,,
,Vanaspati (Packed),157.14,264,,
,Soya Oil (Packed),147.35,198,,
,Sunflower Oil (Packed),162.64,253,,
,Palm Oil (Packed),132.59,190,,
,Gur,56.88,135,,
,Tea Loose,273.1,600,,
,Salt Pack (Iodised),21.6,34,,
,Potato,25.41,57,,
,Onion,27.71,60,,
,Tomato,40.65,120,,
