,Date 14/04/2026
Rice,42.28
Wheat,30.89
Atta (Wheat),36.95
Gram Dal,84.8
Tur/Arhar Dal,122.06
Urad Dal,117.95
Moong Dal,111.13
Masoor Dal,89.31
Sugar,46.65
Milk @,60.15
Groundnut Oil (Packed),200.22
Mustard Oil (Packed),189.67
Vanaspati (Packed),158.68
Soya Oil (Packed),157.96
Sunflower Oil (Packed),184.11
Palm Oil (Packed),144.04
Gur,57.79
Tea Loose,269.83
Salt Pack (Iodised),21.7
Potato,19.77
Onion,25.12
Tomato,28.05
Bajra (whole),37.78
Jowar (whole),43.81
Maida (wheat),41.74
Ragi (whole),55.34
Suji (whole),46.91
Besan,95.13
Desi Ghee,684.18
Butter (Pasteurised),58.9
Eggs,78.15
Brinjal,39.14
Black Pepper (whole),87.32
Coriander (whole),38.35
Cummin Seed (whole),41.66
Red Chillies (whole),29.03
Turmeric (powder),16.58
Banana,48.74
Ginger,24.5
Garlic,36.77
