Date 27/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.77,63,,
Unit:(Rs./Kg.),Wheat,31.74,54,,
,Atta (Wheat),37.2,71,,
,Gram Dal,85.83,140,,
,Tur/Arhar Dal,115.03,182,,
,Urad Dal,113.76,152,,
,Moong Dal,110.59,148,,
,Masoor Dal,89.43,142,,
,Sugar,46.51,60,,
,Milk @,59.61,85,,
,Groundnut Oil (Packed),187.31,264,,
,Mustard Oil (Packed),187.35,260,,
,Vanaspati (Packed),157.44,231,,
,Soya Oil (Packed),146.89,194,,
,Sunflower Oil (Packed),166.4,231,,
,Palm Oil (Packed),133.39,173,,
,Gur,57.55,137,,
,Tea Loose,268.84,560,,
,Salt Pack (Iodised),21.25,36,,
,Potato,25.19,52,,
,Onion,29.06,60,,
,Tomato,52,120,,
