Date 30/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.66,64,,
Unit:(Rs./Kg.),Wheat,31.29,55,,
,Atta (Wheat),37.08,71,,
,Gram Dal,86.95,140,,
,Tur/Arhar Dal,128.25,185,,
,Urad Dal,118.31,155,,
,Moong Dal,112.08,150,,
,Masoor Dal,88.25,130,,
,Sugar,45.77,60,,
,Milk @,58.82,80,,
,Groundnut Oil (Packed),190.44,279,,
,Mustard Oil (Packed),169.23,242,,
,Vanaspati (Packed),154.63,214,,
,Soya Oil (Packed),146.47,192,,
,Sunflower Oil (Packed),161.31,211,,
,Palm Oil (Packed),137.07,182,,
,Gur,54.72,120,,
,Tea Loose,271.98,600,,
,Salt Pack (Iodised),21.41,31,,
,Potato,23.83,60,,
,Onion,28.06,67,,
,Tomato,22.01,100,,
