Date 01/03/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.51,64,,
Unit:(Rs./Kg.),Wheat,33.06,53,,
,Atta (Wheat),38.27,66,,
,Gram Dal,89.6,140,,
,Tur/Arhar Dal,136.03,183,,
,Urad Dal,120.96,161,,
,Moong Dal,112.67,150,,
,Masoor Dal,88.42,130,,
,Sugar,45.3,60,,
,Milk @,58.62,82,,
,Groundnut Oil (Packed),189.86,266,,
,Mustard Oil (Packed),169.44,221,,
,Vanaspati (Packed),151.23,210,,
,Soya Oil (Packed),145.83,194,,
,Sunflower Oil (Packed),157.25,206,,
,Palm Oil (Packed),138.16,185,,
,Gur,53.98,130,,
,Tea Loose,266.89,520,,
,Salt Pack (Iodised),21.26,31,,
,Potato,24.09,60,,
,Onion,36.49,77,,
,Tomato,21.71,100,,
