Date 06/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.53,64,,
Unit:(Rs./Kg.),Wheat,31.22,55,,
,Atta (Wheat),36.67,71,,
,Gram Dal,86.32,140,,
,Tur/Arhar Dal,124.08,185,,
,Urad Dal,116.14,157,,
,Moong Dal,111.37,148,,
,Masoor Dal,87.91,130,,
,Sugar,45.87,60,,
,Milk @,59.15,83,,
,Groundnut Oil (Packed),188.72,279,,
,Mustard Oil (Packed),171.02,242,,
,Vanaspati (Packed),156.01,231,,
,Soya Oil (Packed),146.94,189,,
,Sunflower Oil (Packed),160.69,231,,
,Palm Oil (Packed),133.21,182,,
,Gur,55.06,150,,
,Tea Loose,271.61,600,,
,Salt Pack (Iodised),21.37,31,,
,Potato,24.97,60,,
,Onion,26.31,60,,
,Tomato,27.82,100,,
