,Date 19/04/2026
Rice,42.17
Wheat,30.89
Atta (Wheat),36.76
Gram Dal,83.37
Tur/Arhar Dal,120.87
Urad Dal,117.26
Moong Dal,110.1
Masoor Dal,87.9
Sugar,45.93
Milk @,58.74
Groundnut Oil (Packed),176.78
Mustard Oil (Packed),174.36
Vanaspati (Packed),172.45
Soya Oil (Packed),161.31
Sunflower Oil (Packed),188.46
Palm Oil (Packed),165.18
Gur,56.14
Tea Loose,265.24
Salt Pack (Iodised),21.93
Potato,19.45
Onion,23.87
Tomato,27.53
Bajra (whole),37.34
Jowar (whole),43.55
Maida (wheat),40.76
Ragi (whole),55.28
Suji (whole),44.92
Besan,94.25
Desi Ghee,683.63
Butter (Pasteurised),58.56
Eggs,77.1
Brinjal,37.65
Black Pepper (whole),86.61
Coriander (whole),37.12
Cummin Seed (whole),40.1
Red Chillies (whole),28.63
Turmeric (powder),16.11
Banana,46.71
Ginger,24.32
Garlic,34.56
