Date 12/12/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.17,65,,
Unit:(Rs./Kg.),Wheat,31.76,54,,
,Atta (Wheat),37.16,71,,
,Gram Dal,86.54,140,,
,Tur/Arhar Dal,115.68,182,,
,Urad Dal,113.74,155,,
,Moong Dal,110.42,148,,
,Masoor Dal,89.71,142,,
,Sugar,46.57,60,,
,Milk @,59.25,85,,
,Groundnut Oil (Packed),188.06,286,,
,Mustard Oil (Packed),186.27,257,,
,Vanaspati (Packed),156.04,231,,
,Soya Oil (Packed),146.57,191,,
,Sunflower Oil (Packed),165.37,231,,
,Palm Oil (Packed),132.71,173,,
,Gur,57.28,137,,
,Tea Loose,272.19,560,,
,Salt Pack (Iodised),21.54,35,,
,Potato,25.85,60,,
,Onion,26.9,60,,
,Tomato,47.04,120,,
