Date 09/05/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.7,65,,
Unit:(Rs./Kg.),Wheat,31.33,55,,
,Atta (Wheat),37,71,,
,Gram Dal,86.84,140,,
,Tur/Arhar Dal,127.02,185,,
,Urad Dal,117.84,155,,
,Moong Dal,111.91,150,,
,Masoor Dal,87.88,130,,
,Sugar,45.84,60,,
,Milk @,59.02,82,,
,Groundnut Oil (Packed),190.68,279,,
,Mustard Oil (Packed),169.3,242,,
,Vanaspati (Packed),155.12,218,,
,Soya Oil (Packed),146.84,186,,
,Sunflower Oil (Packed),160.76,209,,
,Palm Oil (Packed),135.82,189,,
,Gur,54.93,120,,
,Tea Loose,271.06,600,,
,Salt Pack (Iodised),21.4,31,,
,Potato,24.44,60,,
,Onion,27.4,67,,
,Tomato,22.64,100,,
