,Date 03/06/2026
Rice,43.16
Wheat,30.89
Atta (Wheat),36.87
Gram Dal,85.5
Tur/Arhar Dal,122.79
Urad Dal,118.46
Moong Dal,111.56
Masoor Dal,89.94
Sugar,46.86
Milk @,60.43
Groundnut Oil (Packed),202.41
Mustard Oil (Packed),190.5
Vanaspati (Packed),162.59
Soya Oil (Packed),161.24
Sunflower Oil (Packed),186.55
Palm Oil (Packed),145.92
Gur,58.19
Tea Loose,274.12
Salt Pack (Iodised),21.72
Potato,21.34
Onion,26.21
Tomato,37.29
Bajra (whole),37.78
Jowar (whole),43.95
Maida (wheat),41.91
Ragi (whole),54.48
Suji (whole),46.8
Besan,95.72
Desi Ghee,686.64
Butter (Pasteurised),59.2
Eggs,79.64
Brinjal,40.99
Black Pepper (whole),87.77
Coriander (whole),39.54
Cummin Seed (whole),41.12
Red Chillies (whole),29.11
Turmeric (powder),16.53
Banana,48.88
Ginger,28.42
Garlic,38.05
