Date 31/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.29,65,,
Unit:(Rs./Kg.),Wheat,32.34,57,,
,Atta (Wheat),37.4,71,,
,Gram Dal,93.42,140,,
,Tur/Arhar Dal,156.87,193,,
,Urad Dal,123.79,170,,
,Moong Dal,113.95,150,,
,Masoor Dal,89.41,130,,
,Sugar,44.56,60,,
,Milk @,58.88,85,,
,Groundnut Oil (Packed),193.88,279,,
,Mustard Oil (Packed),168.04,220,,
,Vanaspati (Packed),146.15,209,,
,Soya Oil (Packed),142.97,192,,
,Sunflower Oil (Packed),153.74,209,,
,Palm Oil (Packed),134,176,,
,Gur,54.61,130,,
,Tea Loose,271.11,520,,
,Salt Pack (Iodised),22.06,31,,
,Potato,33.84,80,,
,Onion,42.92,90,,
,Tomato,39.08,103,,
