Date 07/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.92,63,,
Unit:(Rs./Kg.),Wheat,31.22,53,,
,Atta (Wheat),36.71,68,,
,Gram Dal,85.8,140,,
,Tur/Arhar Dal,122.82,185,,
,Urad Dal,115.83,157,,
,Moong Dal,111.35,148,,
,Masoor Dal,87.8,130,,
,Sugar,46.16,60,,
,Milk @,59.82,83,,
,Groundnut Oil (Packed),186.31,254,,
,Mustard Oil (Packed),170.81,242,,
,Vanaspati (Packed),156.29,231,,
,Soya Oil (Packed),147.11,187,,
,Sunflower Oil (Packed),161.74,231,,
,Palm Oil (Packed),133.07,182,,
,Gur,55.7,150,,
,Tea Loose,269.59,523,,
,Salt Pack (Iodised),21.44,32,,
,Potato,24.32,51,,
,Onion,26.17,62,,
,Tomato,28.44,100,,
