Date 01/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.84,63,,
Unit:(Rs./Kg.),Wheat,31.41,53,,
,Atta (Wheat),36.9,70,,
,Gram Dal,86.47,120,,
,Tur/Arhar Dal,115.11,180,,
,Urad Dal,113.84,170,,
,Moong Dal,109.76,148,,
,Masoor Dal,89.2,140,,
,Sugar,46.38,60,,
,Milk @,59.35,83,,
,Groundnut Oil (Packed),186.6,254,,
,Mustard Oil (Packed),187.59,247,,
,Vanaspati (Packed),154.44,264,,
,Soya Oil (Packed),146.27,198,,
,Sunflower Oil (Packed),161.93,231,,
,Palm Oil (Packed),131.65,190,,
,Gur,57.02,140,,
,Tea Loose,271.07,600,,
,Salt Pack (Iodised),21.06,35,,
,Potato,25.14,57,,
,Onion,26.81,60,,
,Tomato,38.74,120,,
