Date 10/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.03,64,,
Unit:(Rs./Kg.),Wheat,31.72,54,,
,Atta (Wheat),37.04,69,,
,Gram Dal,87.27,140,,
,Tur/Arhar Dal,116.15,182,,
,Urad Dal,113.87,157,,
,Moong Dal,110.28,142,,
,Masoor Dal,89.46,133,,
,Sugar,46.33,60,,
,Milk @,59.13,85,,
,Groundnut Oil (Packed),187.89,254,,
,Mustard Oil (Packed),188.83,249,,
,Vanaspati (Packed),156.34,231,,
,Soya Oil (Packed),147.57,198,,
,Sunflower Oil (Packed),162.32,253,,
,Palm Oil (Packed),132.23,190,,
,Gur,56.53,130,,
,Tea Loose,272.87,600,,
,Salt Pack (Iodised),21.44,33,,
,Potato,25.46,52,,
,Onion,27.88,60,,
,Tomato,43.36,120,,
