Date 27/02/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.85,67,,
Unit:(Rs./Kg.),Wheat,32.79,57,,
,Atta (Wheat),38.12,71,,
,Gram Dal,89.95,140,,
,Tur/Arhar Dal,138.62,187,,
,Urad Dal,121.43,161,,
,Moong Dal,112.69,150,,
,Masoor Dal,88.79,130,,
,Sugar,45.31,60,,
,Milk @,58.24,82,,
,Groundnut Oil (Packed),191.66,279,,
,Mustard Oil (Packed),168.53,221,,
,Vanaspati (Packed),149.93,210,,
,Soya Oil (Packed),144.87,194,,
,Sunflower Oil (Packed),156.64,206,,
,Palm Oil (Packed),136.94,176,,
,Gur,54.15,130,,
,Tea Loose,272.15,520,,
,Salt Pack (Iodised),21.36,31,,
,Potato,24.64,65,,
,Onion,36.91,80,,
,Tomato,22.36,100,,
