,Date 17/03/2026
Rice,42.99
Wheat,31.24
Atta (Wheat),36.97
Gram Dal,85.73
Tur/Arhar Dal,122.27
Urad Dal,117.28
Moong Dal,110.86
Masoor Dal,89.07
Sugar,46.33
Milk @,59.4
Groundnut Oil (Packed),197.6
Mustard Oil (Packed),186.95
Vanaspati (Packed),156.98
Soya Oil (Packed),152.42
Sunflower Oil (Packed),180.24
Palm Oil (Packed),139.89
Gur,57.06
Tea Loose,272.15
Salt Pack (Iodised),21.52
Potato,21.1
Onion,25.91
Tomato,28.2
Bajra (whole),37.93
Jowar (whole),44.0
Maida (wheat),41.85
Ragi (whole),54.73
Suji (whole),46.68
Besan,95.59
Desi Ghee,682.59
Butter (Pasteurised),58.98
Eggs,79.11
Brinjal,38.42
Black Pepper (whole),87.22
Coriander (whole),37.77
Cummin Seed (whole),40.66
Red Chillies (whole),28.22
Turmeric (powder),16.32
Banana,47.7
Ginger,24.84
Garlic,37.67
