Date 16/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.35,68,27,40,51,53.5,44.5,41.14,37.89,44,38.67,40,52,38.75,41,40.82,44.38,39.28,54.2,49.5,47.5,38,48.05,37.75,49.57,43.5,39,65,39.79,39.14,49,57.32,56.5,38,39.68,37.5,42.53
Unit:(Rs./Kg.),Wheat,31.97,58,22,28,,42.5,45,37.09,29.36,31,33,30,39.5,34.75,30,24,33.5,31.78,42.43,47,,30.02,39.95,43.43,41.67,42.57,38.64,48,27.86,29.71,38.5,45.35,40.8,,28.6,28.5,30.88
,Atta (Wheat),37.16,70,29,35,70,45.75,43,39.45,34.94,36,40.33,34,47,36,33.5,36.18,40.13,36.22,44.4,46.64,45,34.43,44.68,43.13,47.43,49.71,43.19,47,33.43,33.43,39.33,55.64,44.8,41.75,33.92,35.75,40
,Gram Dal,95.43,145,70,90,113.5,101.75,105.5,94.59,89.67,90,106,100,102.5,93.88,97,98.36,99.5,92.65,95.03,112.69,132.5,92.74,99.58,109.5,97.25,101.18,100.73,102,98.21,89.14,100.83,102.48,90.3,100.67,89.47,88.25,90.41
,Tur/Arhar Dal,161.47,193,123,160,172,169.5,179.5,166.67,155.14,165,160.33,167,171,164.63,168.5,164.91,166.43,159.06,157.7,174.77,180,156.62,166.84,177,160.2,165.63,158.94,185,169,166.29,170,171.32,164.2,165.33,153.27,165,163.94
,Urad Dal,125.35,167,85,120,157,131.75,125.75,112.55,121.56,125,118,147,150.5,123.38,119,134.64,128.38,122.56,130.9,142.75,141,118.94,128.84,133,139.4,124.29,119.53,149,131.86,120.29,126.67,137.44,128.3,129,120.63,119.5,124.88
,Moong Dal,116.1,160,87,120,133.5,122,118.25,114.86,112.67,116,115.67,127,127.5,110.88,119,117.18,122.63,113.39,118.1,132.08,128.5,109.43,120.95,123.25,136.4,121.64,116.19,113,115.29,108.14,126.67,120.84,115.8,114,111.48,116,116.06
,Masoor Dal,90.32,160,74,90,100,93.25,101.25,90.36,80.42,90,90,90,94.5,86.5,88.5,87.64,105.25,82.5,93.27,102.15,131.5,86.83,94.21,88.13,97.57,98.21,83.94,98,93.21,83,93.33,92.27,92.7,107.5,87.71,102.5,94.71
,Sugar,44.98,60,35,44,51.5,44,53.75,47.33,44.69,45,44,45,43,43,45,47.09,49.88,45.41,43.03,43.86,55,42.74,43.63,49.38,51.86,48.5,45.25,49,44.64,41.43,51.5,44.24,40.2,51,43.96,44,46.29
,Milk @,59.02,83,39,60,73,56.75,75.25,72.84,56.36,60,64,56,66,62.71,57.5,51.82,53.25,59.19,51.43,54.57,60,55.67,59.05,74,80.43,74.25,53.6,48,59.79,50.57,64.17,46.56,58.1,74,62.01,62,56.12
,Groundnut Oil (Packed),195.26,275,142,198,212,176.25,169,208.83,191.64,183,218,216,214.5,189.25,217,225.75,,193.14,185.47,235.33,,195.17,198.21,,172,,201.33,246,234.67,176.29,,215.04,169.7,,198.81,169,209.13
,Mustard Oil (Packed),168.24,212,124,165,172.5,173.75,179,173.86,160.27,139,170.33,180,191.5,175.5,164,186.09,189,170.61,171.7,197.1,174,164.83,183.78,161.5,180,154.79,183.44,152,171.93,144.43,188.67,186.06,163.4,179.75,162.4,156,167.59
,Vanaspati (Packed),143.73,209,92,143,169,133.75,132,147.94,137.33,124,132.33,165,170.5,140.63,154,156.82,155.25,145.39,128.73,169.69,167,139.33,149.11,157,127,156,146.8,157,167.36,124,140.83,158.8,112.67,139,141.11,144.75,139.47
,Soya Oil (Packed),142.79,198,102,154,,136,142.5,144.67,140.74,119,132,159,151.5,140.63,147.5,146.8,148.5,144.5,138.37,146,194,142.52,150.11,151.25,135.71,159.93,142.8,,157.43,126.29,151.5,,114.38,147.5,141.08,139.75,137.76
,Sunflower Oil (Packed),149.23,220,105,154,132,154.75,168.33,149,153.89,120,143.33,159,160.5,143.75,153,150.75,161.67,156.38,145.07,158.14,,147.87,154.58,220,149.25,171.5,153.56,135,159,135.8,174.5,153.84,137.6,169,147.65,152,145.38
,Palm Oil (Packed),130.13,170,91,143,124.5,135.5,,121,119.38,100,132.67,139,127,136.63,131.5,114.5,131.8,124.22,126.53,150.08,,115.75,138.31,,120.5,146,138.92,121,140.64,106,,142.6,124.3,135,120.96,121,123.44
,Gur,55.39,130,37,50,72,59.5,83.25,60.33,47.75,55,52.33,60,64,55.29,53.5,49.91,52.88,51.35,51.83,62,70,50.7,55.53,78,109.71,77.88,53.5,60,51.86,43.57,61,58.92,54.5,74.25,51.84,56.25,53.06
