Date 26/09/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.16,64,,
Unit:(Rs./Kg.),Wheat,31.6,54,,
,Atta (Wheat),36.95,70,,
,Gram Dal,86.94,136,,
,Tur/Arhar Dal,115.29,172,,
,Urad Dal,113.67,170,,
,Moong Dal,110.37,150,,
,Masoor Dal,89.32,130,,
,Sugar,46.39,60,,
,Milk @,59.12,85,,
,Groundnut Oil (Packed),187.93,254,,
,Mustard Oil (Packed),187.65,257,,
,Vanaspati (Packed),156.19,231,,
,Soya Oil (Packed),146.46,198,,
,Sunflower Oil (Packed),162.42,253,,
,Palm Oil (Packed),132.29,190,,
,Gur,56.88,137,,
,Tea Loose,271.38,520,,
,Salt Pack (Iodised),21.43,35,,
,Potato,25.2,55,,
,Onion,26.92,60,,
,Tomato,39.18,120,,
