Date 06/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.94,63,,
Unit:(Rs./Kg.),Wheat,31.56,52,,
,Atta (Wheat),36.89,71,,
,Gram Dal,87.28,140,,
,Tur/Arhar Dal,118.87,183,,
,Urad Dal,114.54,157,,
,Moong Dal,110.53,148,,
,Masoor Dal,89.09,140,,
,Sugar,46.15,60,,
,Milk @,59.1,83,,
,Groundnut Oil (Packed),189.14,279,,
,Mustard Oil (Packed),186.08,249,,
,Vanaspati (Packed),156.42,231,,
,Soya Oil (Packed),147.1,198,,
,Sunflower Oil (Packed),161.1,253,,
,Palm Oil (Packed),130.38,177,,
,Gur,56.33,128,,
,Tea Loose,273.02,600,,
,Salt Pack (Iodised),21.39,33,,
,Potato,25.75,57,,
,Onion,28.24,60,,
,Tomato,50.88,120,,
