Date 07/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.21,64,,
Unit:(Rs./Kg.),Wheat,31.58,54,,
,Atta (Wheat),36.99,70,,
,Gram Dal,86.96,136,,
,Tur/Arhar Dal,114.94,180,,
,Urad Dal,113.74,170,,
,Moong Dal,110.42,150,,
,Masoor Dal,89.57,140,,
,Sugar,46.44,60,,
,Milk @,59.05,83,,
,Groundnut Oil (Packed),187.57,254,,
,Mustard Oil (Packed),187.47,257,,
,Vanaspati (Packed),157.02,264,,
,Soya Oil (Packed),146.83,198,,
,Sunflower Oil (Packed),163.23,231,,
,Palm Oil (Packed),132.91,190,,
,Gur,56.98,140,,
,Tea Loose,271.87,600,,
,Salt Pack (Iodised),21.4,35,,
,Potato,25.25,57,,
,Onion,26.61,60,,
,Tomato,38.26,120,,
