Date 18/12/2024,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.32,68,,
Unit:(Rs./Kg.),Wheat,32.27,58,,
,Atta (Wheat),37.29,70,,
,Gram Dal,94.03,140,,
,Tur/Arhar Dal,158.59,191,,
,Urad Dal,124.07,167,,
,Moong Dal,114.39,160,,
,Masoor Dal,89.31,140,,
,Sugar,44.73,60,,
,Milk @,58.82,82,,
,Groundnut Oil (Packed),194.57,271,,
,Mustard Oil (Packed),168.62,221,,
,Vanaspati (Packed),146.17,209,,
,Soya Oil (Packed),143.63,194,,
,Sunflower Oil (Packed),153.51,210,,
,Palm Oil (Packed),134.22,176,,
,Gur,54.88,130,,
,Tea Loose,271.83,520,,
,Salt Pack (Iodised),21.99,31,,
,Potato,36.66,90,,
,Onion,50.8,120,,
,Tomato,45.1,120,,
