Date 01/04/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.76,65,,
Unit:(Rs./Kg.),Wheat,31.98,58,,
,Atta (Wheat),37.49,71,,
,Gram Dal,87.7,140,,
,Tur/Arhar Dal,131.11,182,,
,Urad Dal,119.19,156,,
,Moong Dal,112.15,150,,
,Masoor Dal,88.26,130,,
,Sugar,45.58,60,,
,Milk @,58.5,80,,
,Groundnut Oil (Packed),191.78,279,,
,Mustard Oil (Packed),169.4,229,,
,Vanaspati (Packed),153.11,209,,
,Soya Oil (Packed),146.25,192,,
,Sunflower Oil (Packed),159.17,211,,
,Palm Oil (Packed),138.64,177,,
,Gur,53.99,130,,
,Tea Loose,270.83,520,,
,Salt Pack (Iodised),21.24,31,,
,Potato,23.47,57,,
,Onion,31.47,80,,
,Tomato,20.84,100,,
