,Date 12/09/2026
Rice,45.14
Broken Rice,32.51
Wheat,31.63
Atta (Wheat),37.51
Gram Dal,87.36
Tur/Arhar Dal,123.84
Urad Dal,122.21
Moong Dal,111.52
Masoor Dal,89.59
Sugar,59.92
Milk @,61.22
Groundnut Oil (Packed),208.83
Mustard Oil (Packed),201.34
Vanaspati (Packed),168.0
Soya Oil (Packed),165.92
Sunflower Oil (Packed),193.04
Palm Oil (Packed),152.11
Gur,67.08
Tea Loose,271.92
Salt Pack (Iodised),22.5
Potato,21.92
Onion,53.65
Tomato,39.77
Bajra (whole),38.82
Jowar (whole),45.51
Maida (wheat),42.19
Ragi (whole),56.16
Suji (whole),46.91
Besan,96.63
Desi Ghee,701.09
Butter (Pasteurised),60.43
Eggs,84.42
Brinjal,42.95
Black Pepper (whole),88.36
Coriander (whole),43.73
Cummin Seed (whole),41.06
Red Chillies (whole),30.5
Turmeric (powder),16.62
Banana,49.62
Ginger,36.63
Garlic,44.81
