Date 11/11/2024,States/UTs,Average Price,Maximum Price,Minimum Price,Modal Price,Andaman and Nicobar,Andhra Pradesh,Arunachal pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,DNH and DD,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Daily Retail Prices Of Essential Commodities,Rice,43.65,67,29,40,52,53.5,46,42,37.69,44,38.29,40,52,54.5,39.14,39,40.83,44.13,39.22,53.78,49.77,48.5,38.02,48.16,51,37.33,50.44,43,39.5,65,39.86,42,49.33,57.56,56.3,37.75,39.4,37.67,44
Unit:(Rs./Kg.),Wheat,31.76,58,22,28,,42.5,45,37.27,29.06,31,34,30,40,50,34.43,29.25,24,33.67,31.72,42.59,46.18,,29.64,40,49,43,42.13,42.57,38.53,48,27.14,29.61,38.83,45.67,40.6,,28.5,26.33,31.33
,Atta (Wheat),36.87,70,29,35,69,45.25,43.67,39.45,34.83,36,37.71,34,47,45,36.14,34.25,36.08,40.25,36.17,44.63,44.92,46,34.36,44.74,49,42.11,48.44,49.4,42.35,47,33.36,33.65,39.33,54.72,44.4,40.75,33.87,37,38.95
,Gram Dal,95.26,145,70,90,111.33,102,106.67,96.32,88.43,90,96.29,100,102.5,106.5,92.57,92,99.5,98.38,92.71,95.16,112.31,131.5,92.65,99.58,113,109,98.17,101.64,98.85,102,98.93,89.61,97,102.38,91.3,99.67,89.16,91.33,92.33
,Tur/Arhar Dal,161.93,196,123,160,175.67,169,180,170,155.4,165,158,167,170.5,166.5,166.71,166.75,165.5,165.86,160,157.97,175.38,180,156.27,166.42,178,179,157.17,166.44,157.5,185,168.14,162.94,170,171.44,163.6,165,153.57,167.67,164.71
,Urad Dal,125.46,173,85,120,163,131.25,123.33,113.4,121.29,125,117.71,147,150.5,155,126,118,133.92,127.63,122.56,130.72,143.17,141,119.17,129.16,140,133,135.29,123.13,120.32,149,132,120,124.33,137,128.2,129,120.72,117.67,125.52
,Moong Dal,116.19,160,87,120,137.33,121.75,116.67,116.68,113.03,116,114.86,127,127.5,131.5,111.43,117,117.5,122.13,113.22,118.41,131.85,130,109.7,120.37,128,122.78,137.83,121.4,114.2,113,117,107.23,126.67,121.28,115.8,112.5,111.89,116.33,118.14
,Masoor Dal,90.39,160,74,90,104,93.25,103.33,91.27,80.6,90,89.29,90,95,100.5,86.29,86.25,87.75,105,82.28,93.47,101.77,131.5,86.96,93.89,93,87.89,98.11,98.13,82.95,98,93,86.58,95.83,92.5,93,108,87.68,96.33,96.81
,Sugar,44.99,60,33,44,53.33,44,55,47.38,44.71,45,43.86,45,43,44,43,44.75,47.17,50,45.41,43.03,43.93,55,42.62,43.63,54,49.33,52.11,50.14,45.25,48,44.64,42.74,51.5,44.19,40.2,50.5,43.99,44,46.05
,Milk @,58.48,83,39,60,73.67,56.75,75.67,72.62,56.09,60,56.43,56,66,59,63.43,58.25,52.92,53.63,59.19,51.23,54.36,60,55.47,58.95,,73.56,79.56,72.85,53.2,48,59.86,52.6,64.17,47.19,58.1,74.25,61.8,63.67,54.9
