Date 24/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.82,64,,
Unit:(Rs./Kg.),Wheat,31.34,55,,
,Atta (Wheat),36.7,71,,
,Gram Dal,86.37,140,,
,Tur/Arhar Dal,122.65,183,,
,Urad Dal,116.03,180,,
,Moong Dal,111.19,149,,
,Masoor Dal,88.21,130,,
,Sugar,45.98,60,,
,Milk @,58.86,82,,
,Groundnut Oil (Packed),188.28,279,,
,Mustard Oil (Packed),172.65,242,,
,Vanaspati (Packed),156.22,231,,
,Soya Oil (Packed),146.39,189,,
,Sunflower Oil (Packed),160.44,231,,
,Palm Oil (Packed),131.56,182,,
,Gur,55.58,143,,
,Tea Loose,270.4,600,,
,Salt Pack (Iodised),21.4,32,,
,Potato,25.52,60,,
,Onion,27.53,77,,
,Tomato,35.11,117,,
