,Date 19/06/2026
Rice,43.82
Broken Rice,32.83
Wheat,31.05
Atta (Wheat),36.81
Gram Dal,85.79
Tur/Arhar Dal,122.92
Urad Dal,118.67
Moong Dal,111.3
Masoor Dal,90.12
Sugar,46.95
Milk @,60.63
Groundnut Oil (Packed),203.36
Mustard Oil (Packed),192.7
Vanaspati (Packed),163.57
Soya Oil (Packed),161.84
Sunflower Oil (Packed),188.02
Palm Oil (Packed),146.93
Gur,58.62
Tea Loose,275.44
Salt Pack (Iodised),21.88
Potato,22.05
Onion,27.57
Tomato,44.49
Bajra (whole),37.95
Jowar (whole),44.0
Maida (wheat),42.08
Ragi (whole),55.01
Suji (whole),47.34
Besan,95.95
Desi Ghee,690.87
Butter (Pasteurised),59.35
Eggs,81.48
Brinjal,42.0
Black Pepper (whole),87.87
Coriander (whole),40.31
Cummin Seed (whole),41.11
Red Chillies (whole),29.23
Turmeric (powder),16.56
Banana,49.23
Ginger,30.23
Garlic,39.35
