,Date 24/06/2026
Rice,43.76
Broken Rice,32.73
Wheat,31.14
Atta (Wheat),36.87
Gram Dal,85.68
Tur/Arhar Dal,122.8
Urad Dal,118.78
Moong Dal,111.41
Masoor Dal,90.07
Sugar,46.98
Milk @,60.42
Groundnut Oil (Packed),204.32
Mustard Oil (Packed),193.08
Vanaspati (Packed),164.08
Soya Oil (Packed),162.4
Sunflower Oil (Packed),188.2
Palm Oil (Packed),147.44
Gur,58.23
Tea Loose,273.42
Salt Pack (Iodised),21.8
Potato,21.99
Onion,28.05
Tomato,43.7
Bajra (whole),38.08
Jowar (whole),44.24
Maida (wheat),42.05
Ragi (whole),54.84
Suji (whole),47.19
Besan,95.97
Desi Ghee,690.86
Butter (Pasteurised),59.49
Eggs,82.0
Brinjal,41.58
Black Pepper (whole),87.82
Coriander (whole),40.36
Cummin Seed (whole),40.82
Red Chillies (whole),29.17
Turmeric (powder),16.48
Banana,49.17
Ginger,31.06
Garlic,39.75
