,Date 13/04/2026
Rice,43.07
Wheat,31.02
Atta (Wheat),36.9
Gram Dal,85.27
Tur/Arhar Dal,122.35
Urad Dal,117.74
Moong Dal,111.37
Masoor Dal,89.66
Sugar,46.51
Milk @,59.5
Groundnut Oil (Packed),199.57
Mustard Oil (Packed),188.72
Vanaspati (Packed),159.42
Soya Oil (Packed),157.75
Sunflower Oil (Packed),184.43
Palm Oil (Packed),143.45
Gur,57.31
Tea Loose,273.74
Salt Pack (Iodised),21.77
Potato,20.39
Onion,24.96
Tomato,27.45
Bajra (whole),37.76
Jowar (whole),43.94
Maida (wheat),41.81
Ragi (whole),54.91
Suji (whole),46.92
Besan,95.45
Desi Ghee,685.05
Butter (Pasteurised),58.87
Eggs,77.32
Brinjal,39.03
Black Pepper (whole),87.23
Coriander (whole),38.25
Cummin Seed (whole),40.86
Red Chillies (whole),28.62
Turmeric (powder),16.4
Banana,48.05
Ginger,25.0
Garlic,36.65
