Date 19/10/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.97,61,,
Unit:(Rs./Kg.),Wheat,31.75,54,,
,Atta (Wheat),37.27,70,,
,Gram Dal,85.46,120,,
,Tur/Arhar Dal,112.61,160,,
,Urad Dal,113.47,157,,
,Moong Dal,108.92,148,,
,Masoor Dal,88,125,,
,Sugar,46.25,60,,
,Milk @,58.73,85,,
,Groundnut Oil (Packed),187.55,286,,
,Mustard Oil (Packed),186.72,242,,
,Vanaspati (Packed),155.5,231,,
,Soya Oil (Packed),146.58,192,,
,Sunflower Oil (Packed),163.28,231,,
,Palm Oil (Packed),132.6,172,,
,Gur,56.38,140,,
,Tea Loose,264.01,520,,
,Salt Pack (Iodised),21.59,35,,
,Potato,24.24,51,,
,Onion,25.04,60,,
,Tomato,36.49,120,,
