Date 20/11/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.22,63,,
Unit:(Rs./Kg.),Wheat,31.66,54,,
,Atta (Wheat),37.04,71,,
,Gram Dal,86.93,140,,
,Tur/Arhar Dal,115.93,182,,
,Urad Dal,113.87,155,,
,Moong Dal,110.51,148,,
,Masoor Dal,89.59,134,,
,Sugar,46.53,60,,
,Milk @,59.13,84,,
,Groundnut Oil (Packed),187.63,280,,
,Mustard Oil (Packed),186.18,246,,
,Vanaspati (Packed),156.52,231,,
,Soya Oil (Packed),146.6,198,,
,Sunflower Oil (Packed),164.79,242,,
,Palm Oil (Packed),132.94,187,,
,Gur,57.25,128,,
,Tea Loose,271.95,560,,
,Salt Pack (Iodised),21.4,35,,
,Potato,26.95,60,,
,Onion,26.8,62,,
,Tomato,46.89,120,,
