,Date 02/03/2026
Rice,43.08
Wheat,31.52
Atta (Wheat),37.28
Gram Dal,85.8
Tur/Arhar Dal,121.45
Urad Dal,117.14
Moong Dal,111.13
Masoor Dal,89.78
Sugar,46.54
Milk @,59.69
Groundnut Oil (Packed),193.69
Mustard Oil (Packed),186.8
Vanaspati (Packed),156.49
Soya Oil (Packed),150.61
Sunflower Oil (Packed),175.39
Palm Oil (Packed),136.01
Gur,57.65
Tea Loose,270.38
Salt Pack (Iodised),21.51
Potato,21.62
Onion,26.82
Tomato,29.35
Bajra (whole),38.44
Jowar (whole),44.42
Maida (wheat),41.96
Ragi (whole),54.89
Suji (whole),46.9
Besan,95.72
Desi Ghee,682.78
Butter (Pasteurised),58.88
Eggs,81.05
Brinjal,39.26
Black Pepper (whole),86.99
Coriander (whole),37.64
Cummin Seed (whole),40.82
Red Chillies (whole),28.24
Turmeric (powder),16.24
Banana,47.79
Ginger,24.64
Garlic,38.45
