,Date 02/02/2026
Rice,43.15
Wheat,31.82
Atta (Wheat),37.31
Gram Dal,86.07
Tur/Arhar Dal,118.74
Urad Dal,115.06
Moong Dal,110.64
Masoor Dal,89.55
Sugar,46.33
Milk @,59.08
Groundnut Oil (Packed),190.92
Mustard Oil (Packed),186.68
Vanaspati (Packed),156.72
Soya Oil (Packed),148.55
Sunflower Oil (Packed),171.69
Palm Oil (Packed),134.53
Gur,57.01
Tea Loose,272.17
Salt Pack (Iodised),21.45
Potato,23.2
Onion,28.42
Tomato,37.41
Bajra (whole),37.91
Jowar (whole),43.54
Maida (wheat),41.97
Ragi (whole),54.31
Suji (whole),47.05
Besan,95.77
Desi Ghee,679.63
Butter (Pasteurised),58.88
Eggs,83.58
Brinjal,40.98
Black Pepper (whole),87.15
Coriander (whole),37.71
Cummin Seed (whole),40.85
Red Chillies (whole),27.73
Turmeric (powder),16.34
Banana,47.37
Ginger,24.97
Garlic,38.91
