Date 10/01/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,43.24,65,,
Unit:(Rs./Kg.),Wheat,32.55,57,,
,Atta (Wheat),37.52,71,,
,Gram Dal,92.95,140,,
,Tur/Arhar Dal,154.46,190,,
,Urad Dal,123.58,170,,
,Moong Dal,113.76,150,,
,Masoor Dal,89.36,130,,
,Sugar,44.65,60,,
,Milk @,58.64,82,,
,Groundnut Oil (Packed),193.26,290,,
,Mustard Oil (Packed),168.88,221,,
,Vanaspati (Packed),147.49,211,,
,Soya Oil (Packed),143.21,194,,
,Sunflower Oil (Packed),153.94,209,,
,Palm Oil (Packed),134.67,176,,
,Gur,54.47,130,,
,Tea Loose,271.44,520,,
,Salt Pack (Iodised),22.07,31,,
,Potato,32.14,70,,
,Onion,40.6,87,,
,Tomato,32.44,100,,
