,Date 25/09/2026
Rice,46.6
Broken Rice,33.99
Wheat,31.97
Atta (Wheat),37.72
Gram Dal,88.79
Tur/Arhar Dal,125.6
Urad Dal,123.34
Moong Dal,112.31
Masoor Dal,90.71
Sugar,56.44
Milk @,61.44
Groundnut Oil (Packed),209.6
Mustard Oil (Packed),203.5
Vanaspati (Packed),168.28
Soya Oil (Packed),166.7
Sunflower Oil (Packed),193.75
Palm Oil (Packed),153.25
Gur,66.55
Tea Loose,277.3
Salt Pack (Iodised),22.42
Potato,22.83
Onion,54.38
Tomato,39.51
Bajra (whole),38.7
Jowar (whole),45.33
Maida (wheat),42.81
Ragi (whole),55.77
Suji (whole),47.63
Besan,96.62
Desi Ghee,702.66
Butter (Pasteurised),60.71
Eggs,83.67
Brinjal,43.61
Black Pepper (whole),88.62
Coriander (whole),43.99
Cummin Seed (whole),40.73
Red Chillies (whole),30.51
Turmeric (powder),16.82
Banana,49.96
Ginger,36.21
Garlic,45.59
