,Date 01/07/2026
Rice,43.99
Broken Rice,32.89
Wheat,31.16
Atta (Wheat),36.9
Gram Dal,85.9
Tur/Arhar Dal,122.69
Urad Dal,118.87
Moong Dal,111.21
Masoor Dal,90.19
Sugar,46.98
Milk @,60.53
Groundnut Oil (Packed),204.27
Mustard Oil (Packed),193.44
Vanaspati (Packed),164.3
Soya Oil (Packed),162.93
Sunflower Oil (Packed),188.49
Palm Oil (Packed),147.78
Gur,58.35
Tea Loose,275.48
Salt Pack (Iodised),21.89
Potato,22.25
Onion,30.16
Tomato,42.5
Bajra (whole),38.07
Jowar (whole),44.24
Maida (wheat),42.18
Ragi (whole),54.85
Suji (whole),47.05
Besan,95.97
Desi Ghee,690.88
Butter (Pasteurised),59.5
Eggs,82.77
Brinjal,41.46
Black Pepper (whole),88.03
Coriander (whole),40.85
Cummin Seed (whole),41.07
Red Chillies (whole),29.4
Turmeric (powder),16.51
Banana,49.37
Ginger,32.64
Garlic,40.44
