,Date 30/03/2026
Rice,43.11
Wheat,31.26
Atta (Wheat),37.0
Gram Dal,85.56
Tur/Arhar Dal,122.16
Urad Dal,117.45
Moong Dal,111.17
Masoor Dal,89.49
Sugar,46.47
Milk @,59.4
Groundnut Oil (Packed),198.04
Mustard Oil (Packed),187.11
Vanaspati (Packed),158.52
Soya Oil (Packed),155.01
Sunflower Oil (Packed),182.64
Palm Oil (Packed),141.61
Gur,57.31
Tea Loose,273.23
Salt Pack (Iodised),21.74
Potato,20.76
Onion,25.46
Tomato,27.44
Bajra (whole),37.95
Jowar (whole),44.11
Maida (wheat),41.83
Ragi (whole),54.84
Suji (whole),46.78
Besan,95.72
Desi Ghee,682.98
Butter (Pasteurised),59.06
Eggs,77.52
Brinjal,38.68
Black Pepper (whole),87.24
Coriander (whole),38.18
Cummin Seed (whole),41.0
Red Chillies (whole),28.38
Turmeric (powder),16.42
Banana,48.22
Ginger,24.7
Garlic,36.86
