Date 30/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.78,63,,
Unit:(Rs./Kg.),Wheat,31.2,55,,
,Atta (Wheat),36.69,71,,
,Gram Dal,86.22,140,,
,Tur/Arhar Dal,122.21,183,,
,Urad Dal,115.87,180,,
,Moong Dal,111.06,150,,
,Masoor Dal,88.36,130,,
,Sugar,45.97,60,,
,Milk @,58.88,82,,
,Groundnut Oil (Packed),187.78,279,,
,Mustard Oil (Packed),173.64,242,,
,Vanaspati (Packed),155.58,231,,
,Soya Oil (Packed),146.26,194,,
,Sunflower Oil (Packed),160.04,231,,
,Palm Oil (Packed),131.15,182,,
,Gur,55.84,140,,
,Tea Loose,271.07,600,,
,Salt Pack (Iodised),21.3,32,,
,Potato,25.68,60,,
,Onion,27.89,83,,
,Tomato,36.61,120,,
