,Date 20/01/2026
Rice,43.17
Wheat,31.75
Atta (Wheat),37.21
Gram Dal,85.93
Tur/Arhar Dal,116.08
Urad Dal,113.98
Moong Dal,110.31
Masoor Dal,89.59
Sugar,46.41
Milk @,59.28
Groundnut Oil (Packed),189.62
Mustard Oil (Packed),185.97
Vanaspati (Packed),156.17
Soya Oil (Packed),147.33
Sunflower Oil (Packed),168.26
Palm Oil (Packed),132.95
Gur,57.15
Tea Loose,271.73
Salt Pack (Iodised),21.46
Potato,23.68
Onion,28.82
Tomato,44.82
Bajra (whole),37.58
Jowar (whole),43.48
Maida (wheat),41.86
Ragi (whole),54.19
Suji (whole),47.04
Besan,96.02
Desi Ghee,676.49
Butter (Pasteurised),59.02
Eggs,84.42
Brinjal,41.98
Black Pepper (whole),86.99
Coriander (whole),37.72
Cummin Seed (whole),41.15
Red Chillies (whole),27.71
Turmeric (powder),16.3
Banana,47.4
Ginger,24.73
Garlic,38.64
