,Date 06/09/2026
Rice,45.68
Broken Rice,32.62
Wheat,31.97
Atta (Wheat),37.56
Gram Dal,86.32
Tur/Arhar Dal,122.14
Urad Dal,122.1
Moong Dal,110.32
Masoor Dal,88.43
Sugar,60.8
Milk @,60.13
Groundnut Oil (Packed),207.31
Mustard Oil (Packed),199.89
Vanaspati (Packed),165.62
Soya Oil (Packed),165.35
Sunflower Oil (Packed),192.48
Palm Oil (Packed),151.2
Gur,67.0
Tea Loose,267.35
Salt Pack (Iodised),22.45
Potato,22.02
Onion,50.19
Tomato,37.64
Bajra (whole),38.54
Jowar (whole),45.12
Maida (wheat),41.44
Ragi (whole),55.88
Suji (whole),45.02
Besan,95.3
Desi Ghee,697.74
Butter (Pasteurised),60.29
Eggs,83.1
Brinjal,41.15
Black Pepper (whole),88.13
Coriander (whole),42.76
Cummin Seed (whole),39.97
Red Chillies (whole),29.86
Turmeric (powder),16.37
Banana,48.59
Ginger,37.0
Garlic,43.68
