,Date 04/03/2026
Rice,45.03
Wheat,32.04
Atta (Wheat),37.27
Gram Dal,87.03
Tur/Arhar Dal,123.42
Urad Dal,118.71
Moong Dal,111.93
Masoor Dal,90.08
Sugar,46.15
Milk @,59.01
Groundnut Oil (Packed),194.96
Mustard Oil (Packed),185.09
Vanaspati (Packed),157.25
Soya Oil (Packed),152.07
Sunflower Oil (Packed),174.93
Palm Oil (Packed),135.97
Gur,57.83
Tea Loose,277.5
Salt Pack (Iodised),21.05
Potato,24.23
Onion,27.5
Tomato,30.28
Bajra (whole),37.94
Jowar (whole),44.31
Maida (wheat),43.3
Ragi (whole),53.95
Suji (whole),47.65
Besan,96.14
Desi Ghee,689.93
Butter (Pasteurised),59.31
Eggs,78.99
Brinjal,39.77
Black Pepper (whole),87.39
Coriander (whole),38.58
Cummin Seed (whole),42.18
Red Chillies (whole),28.43
Turmeric (powder),16.68
Banana,47.59
Ginger,24.64
Garlic,38.75
