Date 15/08/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,42.21,63,,
Unit:(Rs./Kg.),Wheat,31.51,51,,
,Atta (Wheat),37.12,69,,
,Gram Dal,86.29,140,,
,Tur/Arhar Dal,116.93,183,,
,Urad Dal,114.8,157,,
,Moong Dal,110.1,148,,
,Masoor Dal,88.75,130,,
,Sugar,46.1,60,,
,Milk @,58.93,85,,
,Groundnut Oil (Packed),186,254,,
,Mustard Oil (Packed),188.44,249,,
,Vanaspati (Packed),155.62,231,,
,Soya Oil (Packed),147.22,190,,
,Sunflower Oil (Packed),159.52,253,,
,Palm Oil (Packed),130.26,177,,
,Gur,56.43,128,,
,Tea Loose,269.66,520,,
,Salt Pack (Iodised),21.53,33,,
,Potato,25.4,60,,
,Onion,27.4,60,,
,Tomato,54.04,150,,
