Date 15/06/2025,States/UTs,Average Price,Maximum Price,,
Daily Retail Prices Of Essential Commodities,Rice,41.92,61,,
Unit:(Rs./Kg.),Wheat,31.23,53,,
,Atta (Wheat),36.82,68,,
,Gram Dal,84.76,108,,
,Tur/Arhar Dal,121.01,165,,
,Urad Dal,115.47,157,,
,Moong Dal,110.01,148,,
,Masoor Dal,86.77,114,,
,Sugar,45.61,60,,
,Milk @,58.62,83,,
,Groundnut Oil (Packed),186.52,250,,
,Mustard Oil (Packed),171.73,242,,
,Vanaspati (Packed),154.15,219,,
,Soya Oil (Packed),147.6,187,,
,Sunflower Oil (Packed),159.81,237,,
,Palm Oil (Packed),131.69,182,,
,Gur,54.58,140,,
,Tea Loose,262.05,523,,
,Salt Pack (Iodised),21.44,32,,
,Potato,24.33,50,,
,Onion,25.11,73,,
,Tomato,31.48,107,,
