,Date 01/09/2026
Rice,46.17
Broken Rice,33.66
Wheat,31.64
Atta (Wheat),37.34
Gram Dal,87.57
Tur/Arhar Dal,124.05
Urad Dal,122.62
Moong Dal,112.04
Masoor Dal,90.55
Sugar,62.96
Milk @,61.09
Groundnut Oil (Packed),208.55
Mustard Oil (Packed),201.12
Vanaspati (Packed),167.21
Soya Oil (Packed),164.89
Sunflower Oil (Packed),192.24
Palm Oil (Packed),150.43
Gur,67.01
Tea Loose,277.47
Salt Pack (Iodised),22.27
Potato,22.75
Onion,49.59
Tomato,38.33
Bajra (whole),38.51
Jowar (whole),45.01
Maida (wheat),42.46
Ragi (whole),55.84
Suji (whole),47.33
Besan,96.48
Desi Ghee,698.25
Butter (Pasteurised),60.32
Eggs,83.41
Brinjal,43.02
Black Pepper (whole),88.35
Coriander (whole),43.27
Cummin Seed (whole),40.89
Red Chillies (whole),30.34
Turmeric (powder),16.61
Banana,50.31
Ginger,36.83
Garlic,44.79
